id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,nama_rs,alamat,desa_kelurahan,kecamatan,telp_ppk,latitude,longitude,tahun,Cluster
1,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RSUD CICALENGKA,"JL. H. DARHAM CIKOPO NO.35, TENJOLAYA, KEC. CICALENGKA, BANDUNG, JAWA BARAT 40395",TENJOLAYA,CICALENGKA,022-7952202,-6.98233728,107.842052,2019,0
2,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RSUD AL IHSAN,"JL. KI ASTRAMANGGALA, BALEENDAH, KEC. BALEENDAH, BANDUNG, JAWA BARAT 40381, INDONESIA",BALEENDAH,BALEENDAH,022-5940872,-7.00770719,107.624064,2019,0
3,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RSUD MAJALAYA,"JL. CIPAKU NO.87, CIPAKU, KEC. PASEH, BANDUNG, JAWA BARAT 40383, INDONESIA",CIPAKU,PASEH,022-5950035,-7.04929,107.772,2019,0
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RSUD SOREANG,"JL. ALUN-ALUN UTARA NO.1, PAMEKARAN, KEC. SOREANG, BANDUNG, JAWA BARAT 40912, INDONESIA",PAMEKARAN,SOREANG,022-5891355,-7.03,108.0,2019,0
5,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RSUD CIKALONG WETAN,"JL. CIKALONG NO.290, CIPTAGUMATI, KEC. CIKALONG WETAN, KABUPATEN BANDUNG BARAT, JAWA BARAT 40556, INDONESIA",CIPTAMUGATI,CIKALONG WETAN,022-86866016,-6.74374444,107.444976,2019,0
6,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RSUD LEMBANG,"JL. RAYA LEMBANG KM 11,4 NO. 11, GUDANGKAHURIPAN, LEMBANG, GUDANGKAHURIPAN, LEMBANG, KABUPATEN BANDUNG BARAT, JAWA BARAT 40391, INDONESIA",GUDANGKAAHURIPAN,LEMBANG,022-2786879,-6.83820952,107.598325,2019,0
7,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RSJ PROVINSI JAWA BARAT,"JL. KOLONEL MASTURI NO.KM.7, JAMBUDIPA, KEC. CISARUA, KABUPATEN BANDUNG BARAT, JAWA BARAT, INDONESIA",JAMBUDIPA,CISARUA,022-2700260,-6.80901504,107.563111,2019,0
8,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RSUD CILILIN,"JL. CINTAKARYA, CILILIN, KABUPATEN BANDUNG BARAT, JAWA BARAT 40562, INDONESIA",CINTAKARYA,CILILIN,022-6941600,-6.94353815,107.459616,2019,0
9,32,JAWA BARAT,3216,KABUPATEN BEKASI,RSUD KABUPATEN BEKASI,"JL. RAYA TEUKU UMAR NO.202, WANASARI, KEC. CIBITUNG, BEKASI, JAWA BARAT 17520, INDONESIA",WANASARI,CIBITUNG,021-88374444,-6.27,107.0,2019,1
10,32,JAWA BARAT,3216,KABUPATEN BEKASI,RSUD CABANGBUNGIN,DESA JAYALAKSANA KECAMATAN CABANG BUNGIN KABUPATEN BEKASI,JAYALAKSANA,CABANGBUNGIN,0857-1767-8889,-6.1,107.0,2019,1
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,RSUD LEUWILIANG,JL. RAYA CIBEBER - LEUWILIANG BOGOR,CIBEBER,LEUWILIANG,0251-8643290,-6.57,107.0,2019,1
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,RSUD CIBINONG,JL. KSR DADI KUSMAYADI NO. 27 CIBINONG BOGOR,TENGAH,CIBINONG,021-8753487,-6.47,107.0,2019,1
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,RSUD CIAWI,JL. RAYA PUNCAK 479 CIAWI BOGOR,BENDUNGAN,CIAWI,0518-240736,-6.66,107.0,2019,1
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DR MUHAMAD HASSAN TOTO,"JL. SARDJIO NO. 1, SEMPLAK KEC. KEMANG",ATANG SENJAYA,KEMANG,0251-7535976,-6.5,107.0,2019,1
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,RSUD CILEUNGSI,JL. RAYA CILEUNGSI-JONGGOL KM.10 CILEUNGSI KABUPATEN BOGOR,CIPEUCANG,CILEUNGSI,021-89934667,-6.43,107.0,2019,1
16,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RSUD CIAMIS,"JL. RUMAH SAKIT NO.76, CIAMIS,",CIAMIS,CIAMIS,0265-771018,-7.34,108.0,2019,0
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RSUD CIMACAN,"JL. RAYA CIMACAN NO.17A, PALASARI, KEC. CIPANAS, KABUPATEN CIANJUR, JAWA BARAT 43253",PALASARI,CIPANAS,0263-512465,-6.72033255,107.032537,2019,1
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RSUD SAYANG KAB CIANJUR,"JL. RUMAH SAKIT NO.1, BOJONGHERANG, KEC. CIANJUR, KABUPATEN CIANJUR, JAWA BARAT 43216",BOJONGHERANG,CIANJUR,0263-261026,-6.810525,107.141066,2019,2
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RSUD PAGELARAN,JL. RAYA PAGELARAN NO 18 DESA PAGELARAN KEC. PAGELARAN KABUPATEN CIANJUR 43266,DESA PAGELARAN,PAGELARAN,0263--2361093,-7.21435837,107.139431,2019,2
20,32,JAWA BARAT,3209,KABUPATEN CIREBON,RSUD WALED,"JL. PRABU KIANSANTANG NO.4, WALED KOTA, WALED, CIREBON, JAWA BARAT 45187",WALED KOTA,WALED,0231-661126,-6.91304,108.719,2019,3
21,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS PARU PROVINSI JAWA BARAT,"JL. PANGERAN KEJAKSAN PO.BOX 4 DESA SIDAWANGI, KECAMATAN SUMBER KABUPATEN CIREBON",SIDAWANGI,SUMBER,0231--8330707,-6.797155,108.475501,2019,3
22,32,JAWA BARAT,3209,KABUPATEN CIREBON,RSUD RJAWINANGUN,"JL. BY PASS PALIMANAN JAKARTA KM. 2 NO. 1, KEBONTURI, KEC. ARJAWINANGUN, KABUPATEN CIREBON, JAWA BARAT 45162",KEBONTURI,ARJAWINANGUN,0231-358335,-6.6565688,108.412696,2019,3
23,32,JAWA BARAT,3205,KABUPATEN GARUT,RSUD PAMEUNGPEUK,"JL. MIRAMAREU NO.99, SIRNABAKTI, PAMEUNGPEUK, KABUPATEN GARUT, JAWA BARAT 44175",SIRNABAKTI,PAMEUNGPEUK,0262-2816017,-7.22540946,107.911241,2019,0
24,32,JAWA BARAT,3205,KABUPATEN GARUT,RSUD DR SLAMET GARUT,"JL. RSU DR. SLAMET NO.12, SUKAKARYA, KEC. TAROGONG KIDUL, KABUPATEN GARUT, JAWA BARAT 44151",SUKAKARYA,TAROGONG KIDUL,0262-232720,-7.213105,107.920109,2019,0
25,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RSUD INDRAMAYU,"JL. MURAHNARA NO.7, SINDANG, KABUPATEN INDRAMAYU, JAWA BARAT 45222",SINDANG,INDRAMAYU,0234-023427265,-6.33021,108.32,2019,3
26,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RSUD PANTURA MA SENTOT PATROL,"JL. RAYA PATROL NO.KM.46, PATROL LOR, KEC. PATROL, KABUPATEN INDRAMAYU, JAWA BARAT 45257",PATROL LOR,PATROL,0234-612715,-6.31432086,107.998717,2019,0
27,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RSUD KARAWANG,"JL. GALUH MAS RAYA NO.1, SUKAHARJA, KEC. TELUKJAMBE TIM., KABUPATEN KARAWANG, JAWA BARAT 41361",SUKAHARJA,TELUKJAMBE TIMUR,0267-640444,-6.320752,107.293131,2019,4
28,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RSUD LINGGARJATI,JL. RAYA BANDORASA WETAN NO.36,BANDORASA WETAN,CILIMUS,0232-614885,-6.885481,108.493841,2019,3
29,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RSUD 45 KUNINGAN,JL .JEND SUDIRMAN NO. 68,KUNINGAN,KUNINGAN,0232-023287188,-6.984283,108.481617,2019,3
30,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RSUD CIDERES,JL. RAYA CIDERES - KADIPATEN NO 180,BOJONGCIDERES,DAWUAN,0233-023366100,-6.760698,108.195011,2019,3
31,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RSUD KABUPATEN MAJALENGKA,JL. KESEHATAN NO. 77 MAJALENGKA,MAJALENGKA WETAN,MAJALENGKA,0233-281189,-6.833815,108.233428,2019,3
32,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RSUD KABUPATEN PANGANDARAN,JL. PANANJUNG NO.412,PANANJUNG,PANGANDARAN,0,-7.681342,108.647689,2019,3
33,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RSUD BAYU ASIH,JL. VETERAN NO. 39,NAGRI KALER, PURWAKARTA,0264-200100,-6.5381349,107.443049,2019,0
34,32,JAWA BARAT,3213,KABUPATEN SUBANG,RSUD KAB SUBANG,JL. BRIGJEN KATAMSO NO.37, DANGDEUR,SUBANG,0260-417442,-6.558127,107.747054,2019,0
